city,district,code,population_district,total_frequency,total_distance
深圳市,宝安区,1,4476554,1878523,18510838.17
广州市,白云区,3,3742991,754107,8934539.169
深圳市,龙岗区,1,4135273,960408,10132939.03
深圳市,龙岗区,2,4135273,495358,5498532.241
佛山市,南海区,3,3667247,207406,2841877.737
佛山市,南海区,2,3667247,784715,9259779.264
佛山市,顺德区,3,3229090,127233,2321842.524
广州市,白云区,1,3742991,1718891,17482898.83
佛山市,顺德区,2,3229090,1066299,10627382.81
广州市,番禺区,3,2658397,132400,2754494.318
广州市,番禺区,2,2658397,572626,13628358.98
惠州市,惠城区,3,2090578,240283,4595297.678
惠州市,惠城区,2,2090578,53341,1154193.303
广州市,花都区,3,1642360,514586,7074621.48
佛山市,南海区,1,3667247,1039209,10442880.3
广州市,增城区,3,1466331,167144,2763973.823
佛山市,顺德区,1,3229090,272173,2494039.586
惠州市,惠阳区,3,1404137,160366,3698340.774
广州市,海珠区,2,1819037,192034,1981723.208
惠州市,博罗县,3,1210878,191424,6355511.656
广州市,番禺区,1,2658397,851033,10115259.77
惠州市,惠东县,3,1018076,137262,4240218.493
深圳市,龙华区,1,2528872,1075251,12311693.32
深圳市,福田区,2,1553225,173025,1652862.269
江门市,新会区,3,909277,87925,1259785.053
广州市,天河区,1,2241826,1739105,17483245.23
惠州市,惠城区,1,2090578,462985,7647002.908
江门市,台山市,3,907744,80283,1715183.266
广州市,海珠区,1,1819037,995048,8488848.402
广州市,增城区,2,1466331,350391,3817899.872
江门市,蓬江区,3,853007,129888,1098901.489
深圳市,南山区,1,1795826,1268092,12542923.21
广州市,南沙区,3,846584,181650,3292053.271
广州市,花都区,1,1642360,425737,3840108.101
肇庆市,怀集县,3,805177,29602,2559662.412
深圳市,福田区,1,1553225,968883,9501824.203
惠州市,惠阳区,2,1404137,39396,885063.324
佛山市,三水区,3,803226,144997,2265416.378
广州市,增城区,1,1466331,122465,1306002.95
江门市,开平市,3,748777,73854,1248386.239
珠海市,香洲区,2,1384317,66739,815159.47
肇庆市,高要区,3,741591,126061,2918260.693
惠州市,惠阳区,1,1404137,208339,4120542.281
佛山市,禅城区,2,1330262,156061,1615726.784
广州市,从化区,3,717684,217023,3712371.434
珠海市,香洲区,1,1384317,823133,7374575.004
肇庆市,四会市,3,640910,54792,1356614.273
广州市,黄埔区,2,1264447,24302,273363.695
珠海市,斗门区,3,608899,132400,2127887.406
佛山市,禅城区,1,1330262,773325,6372128.364
深圳市,坪山区,3,551333,47928,528861.932
惠州市,博罗县,2,1210878,70567,1587057.17
江门市,鹤山市,3,530684,66236,945739.78
广州市,黄埔区,1,1264447,792327,8217362.696
广州市,荔湾区,1,1238305,616965,5823270.878
深圳市,罗湖区,1,1143801,558572,6586880.03
惠州市,惠东县,2,1018076,64340,1293926.734
江门市,恩平市,3,483907,48707,1017043.554
深圳市,光明区,1,1095289,422197,5061687.004
广州市,越秀区,1,1038643,731031,7357920.736
江门市,台山市,2,907744,106279,907739.321
江门市,新会区,1,909277,176301,1426322.651
广州市,南沙区,2,846584,62253,1022033.219
江门市,蓬江区,1,853007,170037,1144611.612
肇庆市,怀集县,2,805177,35096,1303791.252
广州市,南沙区,1,846584,169017,2862139.511
江门市,开平市,2,748777,45034,371253.54
佛山市,高明区,3,469038,42538,887455.713
佛山市,三水区,1,803226,150569,1634601.754
肇庆市,四会市,2,640910,33889,494243.971
珠海市,金湾区,3,446369,93069,1525070.433
江门市,开平市,1,748777,66618,486759.001
深圳市,坪山区,2,551333,80661,1089566.751
肇庆市,四会市,1,640910,86420,1442482.099
珠海市,斗门区,1,608899,66725,617138.772
江门市,恩平市,2,483907,48738,390019.582
肇庆市,封开县,3,374848,10110,326960.604
肇庆市,端州区,1,602402,242024,4269208.525
深圳市,坪山区,1,551333,93438,1107547.579
江门市,鹤山市,1,530684,68174,590904.515
肇庆市,广宁县,2,408112,41674,1148996.9
江门市,江海区,3,364694,40075,326740.89
佛山市,高明区,1,469038,139374,1596069.034
肇庆市,封开县,2,374848,12374,338387.089
肇庆市,德庆县,3,331438,22756,613908.871
珠海市,金湾区,1,446369,75171,1130036.141
江门市,江海区,2,364694,80757,563474.502
惠州市,龙门县,3,319183,20549,961190.97
江门市,江海区,1,364694,24928,233754.195
肇庆市,鼎湖区,3,209116,38948,956989.142
深圳市,盐田区,1,214225,76538,121110.108
肇庆市,德庆县,2,331438,16009,158953.45
肇庆市,鼎湖区,1,209116,27862,458107.826
惠州市,龙门县,2,319183,11260,376729.558
肇庆市,广宁县,3,408112,25558,856529.659
广州市,从化区,1,717684,22606,197461.49
广州市,花都区,2,1642360,17416,154995.532
