district,start_zone,city_code,total_frequency,total_distance,city,population_district
宝安区,440306,V0440300,2276587,25512264.96,深圳市,4476554
龙岗区,440307,V0440300,1396894,16122854.36,深圳市,4135273
白云区,440111,V0440100,2290121,24335944.15,广州市,3742991
南海区,440605,V0440600,2144218,26548153.55,佛山市,3667247
顺德区,440606,V0440600,1524748,16888241.81,佛山市,3229090
番禺区,440113,V0440100,1536842,25360912.38,广州市,2658397
龙华区,440309,V0440300,1059309,12104748.67,深圳市,2528872
天河区,440106,V0440100,1711218,18552926.26,广州市,2241826
惠城区,441302,V0441300,765097,14802295.95,惠州市,2090578
海珠区,440105,V0440100,1105235,10327617.31,广州市,1819037
南山区,440305,V0440300,1214517,13165851.34,深圳市,1795826
花都区,440114,V0440100,949941,11809948.99,广州市,1642360
福田区,440304,V0440300,977699,10314776.47,深圳市,1553225
增城区,440118,V0440100,681556,8996933.328,广州市,1466331
惠阳区,441303,V0441300,460518,10793986.33,惠州市,1404137
香洲区,440402,V0440400,941645,10491480.22,珠海市,1384317
禅城区,440604,V0440600,855074,8481150.487,佛山市,1330262
黄埔区,440112,V0440100,819653,9569455.338,广州市,1264447
荔湾区,440103,V0440100,608605,6180601.356,广州市,1238305
博罗县,441322,V0441300,292750,9090102.803,惠州市,1210878
罗湖区,440303,V0440300,522897,6478794.314,深圳市,1143801
越秀区,440104,V0440100,869968,10633745.86,广州市,1038643
惠东县,441323,V0441300,210204,6683758.18,惠州市,1018076
新会区,440705,V0440700,270930,3356428.089,江门市,909277
台山市,440781,V0440700,194910,4340509.161,江门市,907744
蓬江区,440703,V0440700,373593,3209646.449,江门市,853007
南沙区,440115,V0440100,440902,8034469.634,广州市,846584
怀集县,441224,V0441200,67550,4766764.163,肇庆市,805177
三水区,440607,V0440600,302204,4462759.092,佛山市,803226
开平市,440783,V0440700,180936,2412726.265,江门市,748777
高要区,441204,V0441200,172365,4110530.558,肇庆市,741591
从化区,440117,V0440100,241703,4562593.746,广州市,717684
四会市,441284,V0441200,182858,3729001.791,肇庆市,640910
斗门区,440403,V0440400,185654,2934015.096,珠海市,608899
端州区,441202,V0441200,234904,4427938.168,肇庆市,602402
坪山区,440310,V0440300,242336,3191415.959,深圳市,551333
鹤山市,440784,V0440700,152377,2079582.117,江门市,530684
恩平市,440785,V0440700,94705,1616952.283,江门市,483907
高明区,440608,V0440600,183920,2757485.786,佛山市,469038
金湾区,440404,V0440400,188781,3844162.804,珠海市,446369
广宁县,441223,V0441200,70359,2287368.228,肇庆市,408112
封开县,441225,V0441200,22637,792314.974,肇庆市,374848
江海区,440704,V0440700,156261,1289780.58,江门市,364694
德庆县,441226,V0441200,38356,849654.463,肇庆市,331438
龙门县,441324,V0441300,34442,1552907.77,惠州市,319183
盐田区,440308,V0440300,78788,1375242.004,深圳市,214225
鼎湖区,441203,V0441200,61587,1354859.528,肇庆市,209116
